gate_id,gate_name,assay,statistic,expected,observed,tolerance,PASS/FAIL,consequence_if_fail,halts_study
G1,parse audit: mutated_sequence reconstruction,ALL_28,rows whose mutated_sequence does not rebuild from wildtype_sequence + mutant,0,0,0,PASS,Hamming != mutation-set distance; all pair work is invalid,YES
G1,parse audit: indels,ALL_28,rows where len(mutated) != len(wildtype) on any chain,0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: regex dict parser vs ast.literal_eval,ALL_28,disagreements over 1017924 dict strings,0,0,0,PASS,the fast parser is unsound; revert to ast.literal_eval,YES
G1,HLA-A2 duplicated DMS_score column is identical,HLA-A2_TAPBPR_meanscore_5WER,rows differing between the two DMS_score columns,0,0,0,PASS,usecols silently picks one of two different scores,YES
G1b,BH3 cross-assay join via mutant_seq + WT-residue identity,BH3_Bcl-xL_normed_1PQ1 x BH3_Mcl-1_normed_3KZ0,shared keys at the WT-consistent offset -2,518,518,0,PASS,the C4-I BH3 probe has no join,no
G1b,BH3 cross-assay join via mutant_pdb + WT-residue identity,BH3_Bcl-xL_normed_1PQ1 x BH3_Mcl-1_normed_3KZ0,shared keys at the WT-consistent offset -84,518,518,0,PASS,the C4-I BH3 probe has no join,no
G1b,"BH3 naive (pos,aa) join -- BANNED, measured to show why",BH3_Bcl-xL_normed_1PQ1 x BH3_Mcl-1_normed_3KZ0,"shared keys with NO offset, mutant numbering",97,97,0,PASS,n/a -- this row exists to document the banned route,no
G1b,BH3 r disagreement resolved: Pearson,BH3_Bcl-xL_normed_1PQ1 x BH3_Mcl-1_normed_3KZ0,Pearson r on the 518/518 join,0.1709,0.1709,0.001,PASS,n/a,no
G1b,BH3 r disagreement resolved: Spearman,BH3_Bcl-xL_normed_1PQ1 x BH3_Mcl-1_normed_3KZ0,Spearman rho on the SAME 518/518 join,0.592,0.5919,0.001,PASS,n/a,no
G1b,BH3 seq-numbering offset,BH3 pair,3KZ0 chain C seq pos - 1PQ1 chain B seq pos,-2,-2,0,PASS,the -2 correction in Sec.2 is wrong,no
G2,twin-assay shared keys,KRAS_SOS1_norfitness_8BE4 x KRAS_DARPinK27_norfitness_5O2S,shared keys (side0 token multiset),19227,19227,0,PASS,STOP -- the de-duplication premise has changed,YES
G2,twin-assay byte identity,KRAS_SOS1_norfitness_8BE4 x KRAS_DARPinK27_norfitness_5O2S,max|Delta| on the raw score STRINGS,0.0,0.0,0,PASS,STOP -- the de-duplication premise has changed,YES
G2,twin-assay raw-string differences,KRAS_SOS1_norfitness_8BE4 x KRAS_DARPinK27_norfitness_5O2S,shared keys whose DMS_score strings differ byte-for-byte,0,0,0,PASS,STOP -- the de-duplication premise has changed,YES
G3,chain-key integrity: duplicates WITH the chain label,Z-domain_ZSPA-1_LL1_fitness_1LP1,duplicate genotypes (canonical key),0,0,0,PASS,the within-genotype SDs are REAL and become the primary noise floor for this assay,no
G3,chain-key integrity: duplicates WITHOUT the chain label,Z-domain_ZSPA-1_LL1_fitness_1LP1,"duplicate genotypes keyed on (seq_pos,wt_aa,mut_aa)",847,847,0,PASS,the chain-collision diagnosis is wrong,no
G3,chain-key integrity: duplicates WITH the chain label,Z-domain_ZSPA-1_LL2_fitness_1LP1,duplicate genotypes (canonical key),0,0,0,PASS,the within-genotype SDs are REAL and become the primary noise floor for this assay,no
G3,chain-key integrity: duplicates WITHOUT the chain label,Z-domain_ZSPA-1_LL2_fitness_1LP1,"duplicate genotypes keyed on (seq_pos,wt_aa,mut_aa)",59,59,0,PASS,the chain-collision diagnosis is wrong,no
G3,chain-key integrity: duplicates WITH the chain label,Z-domain_ZpA963_HL1_fitness_2M5A,duplicate genotypes (canonical key),0,0,0,PASS,the within-genotype SDs are REAL and become the primary noise floor for this assay,no
G3,chain-key integrity: duplicates WITHOUT the chain label,Z-domain_ZpA963_HL1_fitness_2M5A,"duplicate genotypes keyed on (seq_pos,wt_aa,mut_aa)",650,650,0,PASS,the chain-collision diagnosis is wrong,no
G3,chain-key integrity: duplicates WITH the chain label,Z-domain_ZpA963_HL2_fitness_2M5A,duplicate genotypes (canonical key),0,0,0,PASS,the within-genotype SDs are REAL and become the primary noise floor for this assay,no
G3,chain-key integrity: duplicates WITHOUT the chain label,Z-domain_ZpA963_HL2_fitness_2M5A,"duplicate genotypes keyed on (seq_pos,wt_aa,mut_aa)",38,38,0,PASS,the chain-collision diagnosis is wrong,no
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,PRIMARY+ARM,"T(tau) over 199 N1 surrogates, tolerance +/-0.05; worst over the 17 assays scored",1.0,1.0364,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: 200 empirical p-values uniform,PRIMARY+ARM,"KS p, worst over the 17 assays scored",0.05,0.5783,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,5A12_VEGF_fitness_4ZFF,"worst |mean_b T_b(tau) - 1| over the 15 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0058,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,5A12_VEGF_fitness_4ZFF,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 0.146 and is reported in T02a),0.05,1.0,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,CD19_FMC63_Fitness_7URV,"worst |mean_b T_b(tau) - 1| over the 14 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.008,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,CD19_FMC63_Fitness_7URV,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 7.61e-44 and is reported in T02a),0.05,0.6276,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,CR6261_FluAH1_logKd_3GBN,"worst |mean_b T_b(tau) - 1| over the 13 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0107,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,CR6261_FluAH1_logKd_3GBN,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 5.68e-62 and is reported in T02a),0.05,0.7355,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,CR9114_FluAH1_logKd_4FQI,"worst |mean_b T_b(tau) - 1| over the 15 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0013,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,CR9114_FluAH1_logKd_4FQI,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 1 and is reported in T02a),0.05,1.0,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,CR9114_FluAH3_logKd_4FQY,"worst |mean_b T_b(tau) - 1| over the 15 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0276,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,CR9114_FluAH3_logKd_4FQY,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 5.61e-72 and is reported in T02a),0.05,0.7657,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,GB1_IgG-Fc_fitness_1FCC,"worst |mean_b T_b(tau) - 1| over the 16 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0004,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,GB1_IgG-Fc_fitness_1FCC,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 1 and is reported in T02a),0.05,1.0,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,GB1_IgG-Fc_fitness_1FCC_2016,"worst |mean_b T_b(tau) - 1| over the 14 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0082,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,GB1_IgG-Fc_fitness_1FCC_2016,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 0.000116 and is reported in T02a),0.05,0.9319,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,KRAS_PICK3CG-RBD_norfitness_1HE8,"worst |mean_b T_b(tau) - 1| over the 16 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0008,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,KRAS_PICK3CG-RBD_norfitness_1HE8,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 0.0146 and is reported in T02a),0.05,0.8755,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,KRAS_RAF1-RBD_norfitness_6VJJ,"worst |mean_b T_b(tau) - 1| over the 16 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0008,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,KRAS_RAF1-RBD_norfitness_6VJJ,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 0.796 and is reported in T02a),0.05,1.0,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,KRAS_RAF1_norfitness_6VJJ,"worst |mean_b T_b(tau) - 1| over the 16 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0024,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,KRAS_RAF1_norfitness_6VJJ,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 1.6e-05 and is reported in T02a),0.05,0.9978,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,KRAS_RALGDS-RBD_norfitness_1LFD,"worst |mean_b T_b(tau) - 1| over the 16 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0012,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,KRAS_RALGDS-RBD_norfitness_1LFD,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 0.2 and is reported in T02a),0.05,1.0,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,KRAS_SOS1_norfitness_8BE4,"worst |mean_b T_b(tau) - 1| over the 16 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0005,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,KRAS_SOS1_norfitness_8BE4,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 0.45 and is reported in T02a),0.05,1.0,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,SARS2-RBD_ACE2_deltaKd_6M0J,"worst |mean_b T_b(tau) - 1| over the 15 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0101,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,SARS2-RBD_ACE2_deltaKd_6M0J,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 9.31e-48 and is reported in T02a),0.05,0.9009,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,Z-domain_ZSPA-1_LL1_fitness_1LP1,"worst |mean_b T_b(tau) - 1| over the 15 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0211,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,Z-domain_ZSPA-1_LL1_fitness_1LP1,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 1.49e-84 and is reported in T02a),0.05,0.5783,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,Z-domain_ZSPA-1_LL2_fitness_1LP1,"worst |mean_b T_b(tau) - 1| over the 12 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0117,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,Z-domain_ZSPA-1_LL2_fitness_1LP1,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 9.13e-22 and is reported in T02a),0.05,0.6198,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,Z-domain_ZpA963_HL1_fitness_2M5A,"worst |mean_b T_b(tau) - 1| over the 13 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0084,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,Z-domain_ZpA963_HL1_fitness_2M5A,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 2.71e-33 and is reported in T02a),0.05,0.983,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: T(tau) = 1.00 +/- 0.05 on a held-out N1,hYAP65_peptide_FunctioncalScore_1JMQ,"worst |mean_b T_b(tau) - 1| over the 14 live statistics (rate at every tau in both unit systems + TR), B=200 N1 surrogates, leave-one-out",0.0,0.0364,0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G4,null self-calibration: B empirical p-values uniform,hYAP65_peptide_FunctioncalScore_1JMQ,min KS p over the same live statistics (randomised leave-one-out empirical p; the spec's conservative form gives 4.81e-86 and is reported in T02a),0.05,0.7359,> 0.05,PASS,STOP -- the surrogate machinery is biased; no observed number in the whole study is readable,YES
G5,censoring positive control: unmasked T(4),CR9114_FluAH3_logKd_4FQY,T(4) unmasked,>=5,,,PENDING,STOP -- the pipeline cannot tell a detection limit from a cliff,YES
G5,censoring positive control: |P_a| collapse after floor masking,CR9114_FluAH3_logKd_4FQY,|P_a| after masking,<=52000,,,PENDING,as above,YES
G6,anti-smooth negative control: C1 REFUTED and T(4) inside the N2 band,Z-domain_ZSPA-1_LL1_fitness_1LP1 / LL2,verdict_C1 and T(4),REFUTED / inside,,,PENDING,STOP -- the pipeline is fooled by selection-dependent library membership,YES
G7,scale-mixture discrimination: does N2c inflate TR / T(tau)?,PRIMARY+ARM,TR and T(tau) on 200 N2c surrogates,sets the verdict rule,,,PENDING,if localisation is ALSO inflated under N2c -> STOP,YES
G8,"power & bias: detection power at a = 4 sigma, pi = 0.005",6 representative assays,power,>=0.5,,,PENDING,the assay is stamped UNDERPOWERED and reports INCONCLUSIVE,no
G9,aggregate-rule FPR of the k-of-7 rule,50 N1 datasets,family-level FPR,<=0.1,,,PENDING,tighten k until <= 0.10 and record the change before any observed value,no
G10,censoring-mask composition (order x degree-decile x phi-decile),censored assays,max absolute bin-proportion difference,<=0.02,,,PENDING,the clamp replay in the null is mis-specified; flag every claim as conditional,no
G11,twin-structure control: at most ONE KRAS interface can be causal,KRAS_SOS1_norfitness_8BE4 / KRAS_DARPinK27_norfitness_5O2S,OR at 8BE4 vs OR at 5O2S,not both,,,PENDING,"reported as a finding, not a stop",no
G-UP,optional upstream per-variant SE arm,SARS2-RBD / GB1 / CR9114,per-variant SE or read counts obtained,obtained,,,PENDING,"every C3-N verdict is stamped conditional and the record must say ""effect size relative to one contaminated replicate bound, not a calibrated significance""",no
G-OPT,optional structural recovery for the hypercube arm,CR9114_FluAH1_logKd_4FQI / 4FQY / CR6261,4FQI/4FQY/3GBN fetched and the 16/11 somatic sites mapped at 100%,100%,,,PENDING,skip the structural half of the arm and say so; NEVER substitute a constant offset,no
